iter	F1	Logloss
0	0.0006426735219	0.6728023897
1	0.01149792399	0.6465575884
2	0.005129849311	0.6282248602
3	0.0006426735219	0.6089141961
4	0.0006426735219	0.5898051433
5	0	0.5742837345
6	0	0.5599813001
7	0	0.5456640568
8	0	0.5327465583
9	0	0.5202955249
10	0	0.5077882414
11	0	0.4959538648
12	0	0.4784940049
13	0	0.4682723786
14	0	0.4590123394
15	0	0.449524215
16	0	0.4380190134
17	0	0.4248421066
18	0	0.4160452594
19	0	0.4067272002
20	0	0.3998755994
21	0	0.393274209
22	0	0.3860829081
23	0	0.379759088
24	0	0.3706077296
25	0	0.3641572663
26	0	0.3587430539
27	0	0.3540822198
28	0	0.3498411053
29	0	0.341092429
30	0	0.3373274942
31	0	0.3337589293
32	0	0.3303587532
33	0	0.3255908566
34	0	0.3224736816
35	0	0.3195499202
36	0	0.3116448803
37	0	0.3049020939
38	0	0.3014819161
39	0	0.2992540126
40	0	0.2971286173
41	0	0.2943133471
42	0	0.2923833932
43	0	0.2904423376
44	0	0.2883917137
45	0	0.2853473721
46	0	0.2810783677
47	0	0.2796133025
48	0	0.2775681905
49	0	0.2762412005
50	0	0.2709994006
51	0	0.2668306454
52	0	0.2655188353
53	0	0.2643841874
54	0	0.2601978201
55	0	0.2580342205
56	0	0.2564258619
57	0	0.2522885996
58	0	0.2513605412
59	0	0.249987759
60	0	0.2485131233
61	0	0.2468107185
62	0	0.246077343
63	0	0.2453085914
64	0	0.2447602529
65	0	0.2415294501
66	0	0.2398677583
67	0	0.2392417614
68	0	0.2377147029
69	0	0.2373375449
70	0	0.2366427104
71	0	0.2361503172
72	0	0.2358222776
73	0	0.23550803
74	0	0.2348297117
75	0	0.2344253404
76	0	0.2326161267
77	0	0.2319055653
78	0	0.2306025132
79	0	0.2300949623
80	0.0006426735219	0.2288342499
81	0.001284934147	0.2276668111
82	0.002568218299	0.2258127459
83	0.002568218299	0.2256337731
84	0.002568218299	0.2254646547
85	0.002568218299	0.2252563119
86	0.002568218299	0.223882367
87	0.002568218299	0.2236363229
88	0.002568218299	0.2234966115
89	0.002568218299	0.2226908605
90	0.005129849311	0.2209905755
91	0.006408202499	0.2195304971
92	0.006408202499	0.2191598048
93	0.01784007646	0.2183245429
94	0.03101265823	0.2171187784
95	0.03225806452	0.2160380191
96	0.03225806452	0.2159567156
97	0.03474415666	0.2154971488
98	0.03536469845	0.2139515865
99	0.03722397476	0.2130826994
100	0.04091910607	0.2115401328
101	0.05621486571	0.2108953434
102	0.08842493092	0.2099345016
103	0.09951159951	0.2092013409
104	0.09951159951	0.2088792572
105	0.1024078025	0.2080247534
106	0.104718417	0.2063760246
107	0.1098300971	0.2050205572
108	0.1194930597	0.2033625355
109	0.1228915663	0.2023613536
110	0.1285285285	0.2016398483
111	0.1391460137	0.1999059966
112	0.1402566398	0.199409104
113	0.1463414634	0.1983368613
114	0.1457899435	0.1983232515
115	0.1474435196	0.198084366
116	0.1468926554	0.1971120031
117	0.1468926554	0.1971020322
118	0.1593390381	0.1963532451
119	0.1690636924	0.1960550789
120	0.169600939	0.1959579518
121	0.1679882526	0.1958944445
122	0.1765565624	0.1949718459
123	0.1886244922	0.1940397403
124	0.1880986938	0.1940350172
125	0.18757259	0.1940304791
126	0.1870461807	0.1939190105
127	0.19276411	0.1933185274
128	0.19276411	0.1933149637
129	0.1974025974	0.1925339193
130	0.2106468231	0.1918405601
131	0.2182336182	0.1908447442
132	0.2177258478	0.1908433156
133	0.2288303597	0.1900701215
134	0.229266912	0.1896181437
135	0.2337662338	0.1888422938
136	0.2342647474	0.1887887022
137	0.2390998594	0.1879664613
138	0.2380416432	0.1878613758
139	0.2393930879	0.1877922908
140	0.2485339291	0.1871211397
141	0.2530589544	0.1865447055
142	0.2596899225	0.1859459525
143	0.2635359116	0.1856185308
144	0.2644947543	0.1855007493
145	0.2644947543	0.1854223167
146	0.2640154653	0.1854132546
147	0.2644947543	0.1853862663
148	0.267768595	0.1851159432
149	0.267768595	0.1851159144
150	0.268722467	0.1849528039
151	0.271978022	0.1846417066
152	0.2725274725	0.1846033431
153	0.2725274725	0.1845992858
154	0.273476112	0.18447993
155	0.273476112	0.1844799299
156	0.2748217224	0.1842858566
157	0.2748217224	0.1842854449
158	0.2776560789	0.1835553703
159	0.2785225718	0.1833785783
160	0.2794640416	0.183314429
161	0.2848583878	0.1829932909
162	0.2874218962	0.1828422742
163	0.2874218962	0.1828405252
164	0.289359392	0.1824648974
165	0.2901301518	0.1823601123
166	0.2918245804	0.1816664442
167	0.2918245804	0.1816662575
168	0.2918245804	0.1814617888
169	0.2945149959	0.1811602298
170	0.2945149959	0.1811600048
171	0.2958963283	0.1811235107
172	0.2972754249	0.1809963391
173	0.3030628694	0.1801654635
174	0.3043478261	0.1800396426
175	0.3078982597	0.1797496776
176	0.3138822276	0.1791764
177	0.3133493205	0.1791587858
178	0.3149773876	0.1789927257
179	0.3166843783	0.1783431783
180	0.3205298013	0.1779779605
181	0.3208895949	0.1779662975
182	0.3208895949	0.1779630004
183	0.3213340392	0.1779411905
184	0.3223074888	0.1777378804
185	0.3227513228	0.177734133
186	0.323194922	0.1777330713
187	0.3234672304	0.1774111745
188	0.3234672304	0.1774101273
189	0.3265736107	0.1769139301
190	0.3300919842	0.1766931305
191	0.3358618886	0.1762275398
192	0.3367320261	0.176150434
193	0.3367320261	0.1760504299
194	0.3382928739	0.1757440288
195	0.3407137275	0.1755231144
196	0.3411458333	0.1755217543
197	0.3436443982	0.1752455951
198	0.3469704816	0.1750622301
199	0.3476461459	0.174907102
200	0.3492637561	0.1747255584
201	0.3538184623	0.1744201167
202	0.3533041913	0.1741654454
203	0.356080041	0.1737601279
204	0.3564102564	0.1737546343
205	0.3604294479	0.1728225115
206	0.3614519427	0.1727273162
207	0.3614519427	0.1726679524
208	0.3614519427	0.1726659214
209	0.3647478349	0.1724807869
210	0.3662258393	0.1721885803
211	0.3674714104	0.1718578789
212	0.3689418929	0.1714781023
213	0.3696754564	0.1714192143
214	0.3708206687	0.1712722428
215	0.373292868	0.1711434945
216	0.3737041719	0.1711413949
217	0.3737041719	0.1711393761
218	0.3790586459	0.1709132416
219	0.3790586459	0.1708038082
220	0.3799698037	0.1706903464
221	0.3799698037	0.1706884371
222	0.3799698037	0.1706646693
223	0.3806889615	0.1705039482
224	0.3800904977	0.1703494944
225	0.3844611529	0.1699406103
226	0.3894158762	0.1693137061
227	0.3893186923	0.1690465656
228	0.3917268876	0.1689611292
229	0.3921275536	0.168925219
230	0.3921275536	0.1689232288
231	0.3920298879	0.1687965769
232	0.3931326201	0.1686527232
233	0.3946322068	0.1682242116
234	0.3946322068	0.168221113
235	0.3975216853	0.1678006586
236	0.3979187314	0.1677982466
237	0.3984142716	0.1677540724
238	0.3998020782	0.1674403901
239	0.3997031907	0.1674381614
240	0.400098912	0.1673406817
241	0.4021712312	0.1670565952
242	0.4025653675	0.1670423642
243	0.4028599606	0.1669994838
244	0.4045275591	0.1664148185
245	0.4049200492	0.1663555223
246	0.4049200492	0.1663513559
247	0.4054054054	0.1658976846
248	0.4068711656	0.1656046033
249	0.4076526858	0.165471679
250	0.4080431584	0.1653586108
251	0.4075527219	0.1650804424
252	0.4075527219	0.1650492703
253	0.4087233521	0.164949685
254	0.4086232239	0.1648022295
255	0.408133268	0.1647241983
256	0.408133268	0.1646761896
257	0.4090019569	0.1645918271
258	0.4093910492	0.1645599342
259	0.4097799511	0.1644198438
260	0.41015625	0.1643287551
261	0.4105443007	0.1643263592
262	0.4108319102	0.1641200234
263	0.4116069251	0.1638280549
264	0.4116069251	0.1638255413
265	0.4118937363	0.1634300179
266	0.4116930572	0.1631529925
267	0.4120798831	0.1630783198
268	0.4116930572	0.1628714445
269	0.4128529698	0.1627019923
270	0.4127524945	0.1625894194
271	0.4131386861	0.1625841562
272	0.41243624	0.162415008
273	0.41243624	0.1623854792
274	0.4134078212	0.1621793117
275	0.4133915575	0.1620503054
276	0.4142614601	0.1619633669
277	0.4137763764	0.1619034959
278	0.4137763764	0.1618129256
279	0.4152131783	0.161647709
280	0.4153957879	0.1615474877
281	0.4151126181	0.1615072176
282	0.416344294	0.1612871344
283	0.4182564598	0.1612352023
284	0.418638339	0.1612330053
285	0.4181554804	0.1611339454
286	0.4187168355	0.1606844694
287	0.4187168355	0.1606800308
288	0.4202409639	0.1605282424
289	0.4204189742	0.1604677956
290	0.4215591915	0.1603605571
291	0.4226977639	0.1602852091
292	0.4234559	0.1602341253
293	0.4230769231	0.1601915272
294	0.4234559	0.1601826921
295	0.4245917387	0.1601052337
296	0.4248679789	0.1600796699
297	0.4240096038	0.1599025241
298	0.4232524622	0.1598505266
299	0.4240096038	0.1598489011
300	0.4246641075	0.1597883424
301	0.4262766723	0.1596054522
302	0.4258992806	0.1595487759
303	0.4274077623	0.1594180281
304	0.4276819923	0.1593006565
305	0.4276819923	0.1592992115
306	0.4279559598	0.1592978223
307	0.4284346577	0.1592150464
308	0.4295269947	0.1587710776
309	0.4306517069	0.158593694
310	0.4306517069	0.1585878448
311	0.430548926	0.158482289
312	0.4309234073	0.1584807933
313	0.4309234073	0.1582992953
314	0.4309234073	0.1582978574
315	0.4308206107	0.1582964748
316	0.4311948486	0.1582792289
317	0.4311948486	0.1582366782
318	0.431671834	0.1581986973
319	0.4308206107	0.1580998569
320	0.431568908	0.1580849722
321	0.431568908	0.1580837978
322	0.4322134858	0.1579606822
323	0.4332301833	0.1579246409
324	0.4332301833	0.1579235317
325	0.4331270823	0.1578669121
326	0.4349893035	0.157673628
327	0.4355260033	0.1576156044
328	0.4356294537	0.1576068322
329	0.4360009499	0.1575255476
330	0.4362686921	0.1575207398
331	0.4360616845	0.1574606799
332	0.4360616845	0.157459774
333	0.4360616845	0.1574136925
334	0.4364326376	0.1573778337
335	0.4359582543	0.1573478691
336	0.4359582543	0.1573257281
337	0.4359582543	0.1573233505
338	0.4363291439	0.1573115574
339	0.4374407583	0.1571378492
340	0.4389204545	0.1569496811
341	0.4396592522	0.1568470676
342	0.4389204545	0.1568296926
343	0.4390820913	0.156704201
344	0.4389782403	0.1566943879
345	0.4395552401	0.156655042
346	0.4406619385	0.156566634
347	0.4419263456	0.1561548746
348	0.4424528302	0.1560877185
349	0.4424528302	0.1560599379
350	0.4424528302	0.1560590684
351	0.4424528302	0.1558757423
352	0.4434495759	0.1558439037
353	0.4444444444	0.1556725016
354	0.4444444444	0.1556717064
355	0.4444444444	0.1556699782
356	0.4458029626	0.1555681828
357	0.4470035253	0.1553331726
358	0.4468984962	0.1552636576
359	0.4476279944	0.1551743158
360	0.4476279944	0.1551578991
361	0.4483568075	0.1551120309
362	0.4479924865	0.1550145859
363	0.4481464101	0.1547210116
364	0.4484052533	0.1546464085
365	0.4502225346	0.1546059218
366	0.4510996724	0.1545627675
367	0.453271028	0.1543655945
368	0.4543544245	0.1543599267
369	0.4548635409	0.1543194268
370	0.4563038919	0.1542684144
371	0.4576350093	0.1542048298
372	0.4576350093	0.1541977572
373	0.4578873895	0.154197028
374	0.4581395349	0.1541875467
375	0.4587113282	0.1540591561
376	0.4593212459	0.1539867537
377	0.4607888631	0.1538207504
378	0.4606819763	0.1537684426
379	0.4615027829	0.1537139223
380	0.4613957802	0.1537132897
381	0.4603616134	0.1535744352
382	0.4610750695	0.1535575268
383	0.4611111111	0.1534423298
384	0.4610043971	0.1534139854
385	0.4620721554	0.1532899131
386	0.4621790423	0.1532561806
387	0.4634597595	0.1532210997
388	0.4633526012	0.1532203741
389	0.4632454924	0.1531490917
390	0.4632454924	0.1531467016
391	0.4639556377	0.1531295401
392	0.4639556377	0.1530680623
393	0.4642032333	0.153022756
394	0.4645578388	0.1529789787
395	0.4649122807	0.152972174
396	0.4656206737	0.1529288778
397	0.4671734623	0.1527369476
398	0.46858458	0.1525818924
399	0.4683398572	0.1525468097
400	0.4686924494	0.1525462595
401	0.4686924494	0.1525452219
402	0.4684767602	0.1525420431
403	0.4684767602	0.152513735
404	0.4683689901	0.1524176238
405	0.4690733502	0.1524171394
406	0.4689655172	0.1523493706
407	0.4691017689	0.1522526031
408	0.469804822	0.1522329988
409	0.4700481983	0.1522060776
410	0.4702913512	0.1521779779
411	0.4700756707	0.1521640698
412	0.4724193179	0.1519900038
413	0.4724193179	0.1519890318
414	0.4720695971	0.1519477692
415	0.4723112128	0.1519367814
416	0.4722031572	0.151919803
417	0.472901898	0.1519194062
418	0.4735159817	0.1518459044
419	0.4738644145	0.1518132337
420	0.4740200547	0.1516886728
421	0.4740200547	0.1516743289
422	0.4744758432	0.1516483289
423	0.4750626281	0.1516336745
424	0.4750626281	0.1516249222
425	0.4750626281	0.1516245857
426	0.4750626281	0.1516242623
427	0.4750626281	0.1516016704
428	0.4750626281	0.1516013683
429	0.475756886	0.1515571544
430	0.4767970883	0.151507433
431	0.4787837531	0.1512830693
432	0.4792564044	0.1509747316
433	0.4792564044	0.1509662379
434	0.4792564044	0.1509495454
435	0.4792564044	0.1509491488
436	0.4801812005	0.1509296944
437	0.4801812005	0.1509263076
438	0.4801812005	0.1508781338
439	0.4805253623	0.1508554398
440	0.4803078316	0.1508163713
441	0.4801991401	0.1507112281
442	0.4801991401	0.1507108897
443	0.4801991401	0.1506834645
444	0.4801991401	0.1506810174
445	0.4806517312	0.1506533489
446	0.4813390636	0.1506018355
447	0.4813390636	0.1505620542
448	0.4824937881	0.1503491288
449	0.4824937881	0.1503459951
450	0.4824937881	0.1503457079
451	0.4822759088	0.1502134157
452	0.4826185102	0.1501030368
453	0.4835363103	0.1500796856
454	0.4835363103	0.1500742235
455	0.4838782413	0.1500520009
456	0.4838782413	0.1500104102
457	0.4838782413	0.149969971
458	0.4838782413	0.1499696401
459	0.4838782413	0.1499427527
460	0.4838782413	0.1499425009
461	0.484220018	0.1499288621
462	0.484220018	0.1499286276
463	0.484220018	0.1499075384
464	0.4845616407	0.1499073184
465	0.4847938725	0.1498704852
466	0.4851351351	0.1498149522
467	0.4851351351	0.1498049194
468	0.4854762441	0.1498023339
469	0.4861580014	0.1496900164
470	0.4864986499	0.1496462699
471	0.4871794872	0.1495125817
472	0.4871794872	0.1495123537
473	0.4871794872	0.1495087791
474	0.4880898876	0.1494270661
475	0.4887690925	0.1492976274
476	0.4891084662	0.1492839151
477	0.4889986529	0.1492836908
478	0.4889986529	0.1492753186
479	0.4889986529	0.149275083
480	0.4894571557	0.1491883622
481	0.4903630659	0.1490576259
482	0.4903630659	0.1490097282
483	0.4903630659	0.1490026997
484	0.4901433692	0.1489428187
485	0.4905913978	0.1489107553
486	0.4914874552	0.1487351171
487	0.491149451	0.1486757634
488	0.491825308	0.148623218
489	0.4936227344	0.1485058814
490	0.4935123043	0.14830639
491	0.4938492507	0.1483017254
492	0.4937388193	0.148259489
493	0.4937388193	0.1481457104
494	0.4937388193	0.148145425
495	0.4937444147	0.1480621204
496	0.4932975871	0.1480468714
497	0.4932975871	0.1480446245
498	0.4939705226	0.1479990688
499	0.4939705226	0.1479917111
500	0.4939705226	0.14796065
501	0.4939705226	0.1479579797
502	0.4938602367	0.1479577563
503	0.4938602367	0.1479396021
504	0.4948683623	0.1478553558
505	0.4948683623	0.1478459234
506	0.4952041044	0.1478116171
507	0.4953145917	0.1476869325
508	0.4953145917	0.1476782656
509	0.4966562639	0.1476301862
510	0.4966562639	0.1475936568
511	0.4966562639	0.1475934502
512	0.4966562639	0.147580797
513	0.4966562639	0.1475804294
514	0.4968805704	0.1475580673
515	0.4968805704	0.1475578883
516	0.4978846582	0.147533758
517	0.4978846582	0.1475089485
518	0.4978846582	0.1475087831
519	0.4978846582	0.1474361395
520	0.4978846582	0.1474359737
521	0.4985533051	0.1473880455
522	0.4985533051	0.1473614707
523	0.4985533051	0.1473553439
524	0.4986666667	0.1471794862
525	0.5003329634	0.1469178207
526	0.5	0.146894748
527	0.4998890122	0.1468944019
528	0.4998890122	0.1468942005
529	0.5002219263	0.146853602
530	0.5002219263	0.1468534157
531	0.5004436557	0.1467742982
532	0.5004436557	0.1467741075
533	0.5006651885	0.1466693168
534	0.500332668	0.1466629126
535	0.5006651885	0.1466128873
536	0.5009975615	0.1466126471
537	0.5013297872	0.1465899603
538	0.5012187015	0.1465681763
539	0.5012187015	0.1465680031
540	0.5015507311	0.1464892608
541	0.5032086745	0.1464021585
542	0.5034254144	0.1463564019
543	0.5036480212	0.1463525506
544	0.503975265	0.1462432045
545	0.5044130627	0.1461781864
546	0.5044130627	0.1460795704
547	0.5055090348	0.1460161947
548	0.5055090348	0.1460159849
